Domain,URL count,Tweet count
timesofisrael.com,1,35
konga.com,1,1
malaysiaupdates.com,1,1
hispantv.com,1,2
clickysound.com,4,4
sharjah24.ae,1,1
bandcamp.com,2,2
newsparot.com,1,1
binance.com,3,3
sott.net,17,207
lapresse.it,1,1
blacklistednews.com,2,9
opendemocracy.net,1,1
alaraby.co.uk,1,8
spotify.com,1,3
timesofnews.com,14,18
presstv.com,1,14
primewire.ag,1,1
jackpineradicals.com,2,4
theplaidzebra.com,1,1
bloomberg.com,1,42
globalnews.ca,1,1
citizentruth.org,1,1
dcclothesline.com,1,96
daum.net,1,1
apnews.com,9,100
therealnews.com,3,238
theantimedia.org,5,682
newspunch.com,5,66
webegram.org,3,3
tllt.in,1,1
ctvnews.ca,1,1
e-thessalia.gr,1,1
humansarefree.com,2,33
pantip.com,1,1
mediasuarakyat.ga,2,2
inewsgr.com,1,1
atlanticcouncil.org,1,1
chesterfield.co.uk,1,1
mailchimp.com,1,4
domainmarket.com,1,1
lawyersgunsmoneyblog.com,1,4
ebay.com,1,1
rocketnews.com,2,2
asheepnomore.net,2,5
trendolizer.com,1,47
huffingtonpost.co.uk,2,9
googleusercontent.com,1,1
britishmuseum.org,1,1
clasos.com.mx,1,1
truepatriot.net,2,2
therealrapgame.com,1,1
konjunktion.info,1,6
manxradio.com,1,5
simplesite.com,1,1
bournemouthecho.co.uk,1,2
3yonel7ds.com,2,2
goodreads.com,1,1
mailchi.mp,1,1
rijksoverheid.nl,1,4
theamericanconservative.com,1,120
huffpostbrasil.com,1,1
almasdarnews.com,5,129
trakt.tv,3,9
ciiradio.com,1,2
wvpe.org,1,1
dailystar.com.lb,1,1
pelop.gr,1,1
elitedaily.com,1,2
firenewsfeed.com,2,3
timesnownews.com,1,17
upi.com,1,28
wkfr.com,1,1
pscp.tv,1,2
worldeventsandthebible.com,1,3
tipperarylive.ie,7,147
wesavesyria.com,2,28
irishexaminer.com,2,9
jenkers.com,1,1
feedburner.com,7,7
aranews.net,1,3
islamicinvitationturkey.com,1,3
aljazeera.com,7,213
channel4.com,1,6
hugedomains.com,4,6
alalam.ir,2,19
buzzteller.com,1,1
convey.pro,1,1
mwcnews.net,1,1
dimpenews.com,1,1
torontopubliclibrary.ca,1,1
linkis.com,1,1
elpais.com,1,10
informationclearinghouse.info,3,26
reacttonews.com,1,1
betrendsetter.today,1,1
newsweek.com,6,1249
gab.com,1,2
aljazeera.net,1,1
state.gov,1,5
therahnuma.com,1,1
kaos.gr,1,1
investmentwatchblog.com,3,18
tasnimnews.com,2,13
travelwirenews.com,1,1
iraqinews.com,1,4
postperhour.com,3,3
wkmi.com,1,1
detroitnews.com,1,24
dailymail.co.uk,8,388
tomcc.org,2,2
anonews.co,1,4
nakedcapitalism.com,1,4
globalcitizen.org,1,1
mirror.co.uk,2,3
www.gov.uk,2,31
nydailynews.com,1,1
townhall.com,1,5
easybranches.com,1,1
wikispooks.com,2,5
fellowshipoftheminds.com,1,4
metronews.ca,1,1
vietatoparlare.it,1,5
arrahmahnews.com,2,2
dedalusprod.com,1,2
disobedientmedia.com,1,7
reuters.com,1,33
rusvesna.su,2,3
go.com,1,42
ukheadlines.org,1,1
duckduckgo.com,1,1
steemit.com,10,22
ipsnews.net,1,5
istioforosnews.com,1,2
bbc.com,4,8
readfulapp.com,3,3
thetruthseeker.co.uk,5,33
pulsemedia.org,1,11
dagbladet.no,1,1
arte.tv,1,1
standard.co.uk,1,7
gulfnews.com,1,6
netflix.com,2,19
wsj.com,4,55
archive.org,3,5
yahoo.com,21,188
alaturka.us,1,1
google.co.uk,1,2
moonofalabama.org,2,112
tinyurl.com,1,1
alternet.org,7,1221
cultureandpolitics.org,1,1
trud.bg,1,2
rightrelevance.com,3,3
campaign-archive.com,1,4
doteasy.com,1,1
rustyradiator.com,1,1
abovetopsecret.com,2,6
cnn.com,7,756
vid.me,2,6
syriacivildefence.org,2,23
lzomedia.com,1,1
un.org,1,3
t.co,1,1
newsteller.org,1,2
atimes.com,1,5
news.club,1,1
pastebin.com,1,23
nbcsports.com,1,32
bestnewswebsites.com,1,1
thefifthcolumnnews.com,1,4
thenationalnews.com,2,3
anews.com.tr,1,2
occasion-to-be.com,2,2
lasvegasnvblog.com,1,3
worldnewsoffice.com,2,2
arabnews.com,1,14
pbs.org,3,56
owata-anntena.com,1,1
mronline.org,1,4
ilerihaber.org,1,4
politicsofhope.com,1,1
nexusnewsfeed.com,2,3
on.cc,1,1
brandonturbeville.com,1,2
oslofreedomforum.com,1,33
wordpress.com,85,548
rationchallenge.org.au,1,1
rojname.com,2,3
strike-the-root.com,1,1
podomatic.com,2,27
google.com,73,93
telesurenglish.net,3,52
gofundme.com,3,12
ranini.tv,1,2
rfu.in.ua,1,1
almanar.com.lb,1,10
thepensivequill.com,1,1
ussanews.com,1,3
refugeesinternational.org,1,14
thejournal.ie,1,98
independent.ie,1,38
kanzleikompa.de,1,1
albawaba.com,2,8
justgiving.com,1,1
twimg.com,2,2
galacticconnection.com,2,3
sn4hr.org,3,189
blazingcatfur.ca,1,4
instituteartist.com,1,4
sarahabed.com,2,5
nworeport.me,3,24
appledaily.com,1,2
hargo.co.id,1,1
christianebuddy.com,1,1
tass.com,3,65
1afsym.tk,1,2
batr.net,1,2
w3livenews.com,2,2
purpose.com,2,3
huffpost.com,1,2
thepavlovictoday.com,1,1
youtube.com,4,4
po.st,1,6
worldtruth.tv,1,2
sputniknews.com,17,1076
jewworldorder.org,2,2
cityofpgh.com,1,1
rferl.org,1,42
ynetnews.com,1,7
alethonews.com,4,5
lewrockwell.com,2,87
mk.ru,1,1
stj-sy.org,1,10
platoscave.org,1,4
data4justice.org,1,1
fractt.com,1,1
washingtonsblog.com,4,25
ap.org,1,4
isportsweb.com,1,1
arabnewsservice.com,1,1
vk.com,3,4
survivalhacking.com,2,3
flickr.com,3,37
nytimes.com,4,31
philosophers-stone.co.uk,1,1
teyit.org,1,1
cbslocal.com,1,3
intellihub.com,1,5
nrk.no,1,2
news24.com,1,4
theonlycolors.com,1,2
gdnonline.com,1,1
clashroyalehackscheats.com,1,1
thedailysheeple.com,3,21
humofun.com,1,1
enantion.gr,1,3
bitchute.com,1,5
thefringenews.com,4,4
ibtimes.co.uk,2,5
manchestereveningnews.co.uk,1,2
afternic.com,1,2
iknowbro.com,1,1
telegraph.co.uk,9,260
theindicter.com,3,6
glastonburyfestivals.co.uk,1,2
countrylife.co.uk,1,5
bl3raby.com,1,3
jvzoo.com,1,1
thekeyplay.com,1,1
wikipedia.org,5,21
ems1.com,2,6
uncut-news.ch,1,10
ghionjournal.com,1,1
orient-news.net,2,107
madata.gr,1,1
apple.news,2,26
earthlink.com,1,1
amazon.com,2,24
sacouncil.com,1,4
macedoniaonline.eu,2,5
one-dollar-hosting.com,1,1
rte.ie,1,6
perfectbrite.com,1,1
iavian.net,1,1
fort-russ.com,1,4
pentictonherald.ca,1,1
liveuamap.com,1,11
theartofannihilation.com,1,1
globalresearch.ca,11,724
medium.com,8,218
malaysiandigest.com,1,1
csmonitor.com,1,45
estibalizmartinez.es,1,6
topsites.gdn,1,1
enabbaladi.net,1,1
usat9.com,1,2
inquirer.net,1,19
bsnews.info,3,3
kompas.tv,2,23
hangthebankers.com,1,21
news-front.info,6,13
voanews.com,1,22
newswaver.com,2,3
foxnews.com,1,80
newearth.media,1,1
spot.im,2,2
thestar.com,1,1
thesleuthjournal.com,1,1
liveleak.com,10,40
paper.li,1,6
russia-insider.com,4,274
pulse.ng,1,1
journal-neo.org,1,2
freecriticalthinking.org,1,3
whitehelmets.org,3,347
reportuk.me,1,24
scoop.it,1,1
msf.ie,1,2
off-guardian.org,2,2
fullcontentrss.com,1,4
voltairenet.org,2,2
stafeta.ro,1,1
ref.gl,2,36
w3lookup.net,1,3
ameblo.jp,1,1
welt.de,1,5
clarityofsignal.com,18,2352
spartanjerseys.com,2,11
noraneco.club,1,1
hannenabintuherland.com,3,4
upflow.co,2,2
peterpeaksolutions.com,3,3
dissidentvoice.org,2,3
britishfreepress.info,1,1
nancysix.org,1,1
newsnowgr.com,1,1
farsnews.com,6,10
riskmap.com,1,7
spreaker.com,1,1
kolkata24x7.com,1,2
blauerbote.com,6,30
belfasttelegraph.co.uk,2,3
fow24news.com,1,2
time.com,2,14
playerpress.com,1,6
ilfarosulmondo.it,1,8
bccrss.club,1,1
salon.com,1,39
seehua.com,1,1
etsy.com,1,2
steigan.no,1,5
huffingtonpost.com,1,16
newssummedup.com,2,2
redbrickcommunications.com,1,2
elcomunista.net,1,2
marokko.nl,1,1
craigmurray.org.uk,1,2
activistpost.com,11,215
anonhq.com,1,4
africa-news.info,1,5
nbcnews.com,6,334
indianexpress.com,1,10
caribflame.com,2,3
